Athlete,Date,Training_Load,Sleep_Quality,Wellness_Score,Readiness_Score,Sprint_10m,CMJ_Height,Strength_Index
Rahul,2026-08-01,320,5,20,100,1.82,52,100
Rahul,2026-08-03,380,4,18,90,1.81,53,102
Rahul,2026-08-05,450,4,17,85,1.80,54,103
Rahul,2026-08-07,520,3,15,75,1.83,51,101
Rahul,2026-08-09,400,4,18,90,1.79,55,105
Rahul,2026-08-11,300,5,20,100,1.77,57,108
Rahul,2026-08-13,420,4,18,90,1.78,56,107
Rahul,2026-08-15,480,3,16,80,1.80,54,106
Arjun,2026-08-01,400,4,18,90,1.79,55,108
Arjun,2026-08-03,460,4,17,85,1.78,56,110
Arjun,2026-08-05,520,3,15,75,1.81,53,109
Arjun,2026-08-07,600,2,12,60,1.85,50,105
Arjun,2026-08-09,680,2,10,50,1.88,48,102
Arjun,2026-08-11,500,3,14,70,1.83,52,106
Arjun,2026-08-13,450,4,17,85,1.80,55,110
Arjun,2026-08-15,560,3,15,75,1.82,53,108
Vikram,2026-08-01,280,5,20,100,1.85,48,92
Vikram,2026-08-03,340,5,19,95,1.84,49,94
Vikram,2026-08-05,390,4,18,90,1.83,50,95
Vikram,2026-08-07,430,4,17,85,1.84,49,96
Vikram,2026-08-09,350,5,20,100,1.82,51,98
Vikram,2026-08-11,300,5,20,100,1.81,52,100
Vikram,2026-08-13,380,4,18,90,1.82,51,99
Vikram,2026-08-15,420,4,17,85,1.83,50,98
Priya,2026-08-01,300,5,20,100,1.91,45,88
Priya,2026-08-03,360,4,18,90,1.90,46,90
Priya,2026-08-05,420,4,17,85,1.89,47,92
Priya,2026-08-07,500,3,15,75,1.92,44,90
Priya,2026-08-09,580,3,14,70,1.94,43,89
Priya,2026-08-11,450,4,18,90,1.90,46,93
Priya,2026-08-13,400,5,19,95,1.88,48,95
Priya,2026-08-15,520,3,16,80,1.91,45,94
